anio, denuncias
2018, 378
2018, 75
2018, 165.528
2018, 40.391
2018, 14.264
2018, 22
2018, 8.694
2018, 503.808
2018, 3.157
2019, 376
2019, 76
2019, 168.817
2019, 37.104
2019, 15.4
2019, 24
2019, 8.847
2019, 529.066
2019, 3.797
2020, 383
2020, 85
2020, 137.635
2020, 32.53
2020, 13.554
2020, 16
2020, 7.243
2020, 475.276
2020, 3.813
2021, 426
2021, 60
2021, 96.06
2021, 23.353
2021, 11.006
2021, 18
2021, 5.353
2021, 430.176
2021, 4.286
2022, 544
2022, 74
2022, 145.399
2022, 29.913
2022, 14.892
2022, 14
2022, 7.172
2022, 550.15
2022, 4.482
